contract,status,wall clock time (h:)m:ss,input-type,abi,state_max_code_size,execs,bugs,coverage,state_average_storage_size,queue,run_unix,state_max_storage_size,bugtypes,state_accounts,crashes,execs_per_sec,state_average_code_size,wall clock time (h:)m:ss
0xf2160f59910011efb571676114fb78207521385f,failure,,,False,,,,,,,,,,,,,,
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2",73.6842105263158,4.5,65,0.0,9,1,2,19,1800.0,1140.5,0:00.22
0x02a0aa5c489d06b6144c7ff45528b3a3df2aa2ff,success,1:19.15,live-state,False,328.0,924626.0,"[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376
[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077631 > 37662610412320084583014736539245998496614132666784207077376",100.0,0.5,284,79.0,1,1,2,2,11704.12658227848,252.0,1:19.15
0x02ad43b44b7f31a73ad2c6c70698c751abf7a178,success,0:13.85,live-state,False,328.0,234784.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077385 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,207,13.0,1,1,2,1,18060.30769230769,252.0,0:13.85
0x02b105eaf35df5a8009ca02c1c7a6c4a90b1811c,success,0:00.24,live-state,False,1845.0,2319.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2
[BUG] selfdestruct DoS | selfdestruct to address 0x26b8944634ee59bc403ba2ef39a20edc89bf92d2",95.34883720930233,10.0,41,0.0,10,1,1,5,2319.0,1845.0,0:00.24
0x02cd9bad8c68fb1534fd48648aa92ab9030879cc,success,0:06.04,live-state,False,13111.0,4124.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376,47.17741935483871,119.8,69,5.0,446,1,5,1,824.8,4927.6,0:06.04
0x02cdcdbe51a11a933206fef4a272071f315ca631,success,0:00.02,live-state,False,1648.0,28.0,[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15,8.536585365853659,1.25,3,0.0,10,1,8,1,28.0,206.0,0:00.02
0x02d44ea8cda0028560cb1a2cda2593d0c336694b,success,0:00.24,live-state,False,2281.0,2124.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e",66.66666666666667,4.5,21,0.0,9,1,2,3,2124.0,1140.5,0:00.24
0x02e041423c2bf004ed9a870dfe0fc639b26664bd,success,0:15.16,live-state,False,328.0,209982.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077408 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,205,15.0,1,1,2,1,13998.8,252.0,0:15.16
0x030c42937ecc8c2fc066b8de8a6190e943ceb016,success,0:19.06,live-state,False,328.0,272467.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077408 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,218,19.0,1,1,2,1,14340.368421052632,252.0,0:19.06
0x030e588175626b0fdfac7238f7eb75a888c2059c,success,0:00.24,live-state,False,841.0,2499.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e",76.47058823529412,1.3333333333333333,68,0.0,4,1,3,17,2499.0,280.3333333333333,0:00.24
0x031dd8f761921aac9afa5ea8b632df51b078bff0,success,0:00.23,live-state,False,2281.0,3088.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
